"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Jacob B.; Natesan Y.; Naik P.U.; Veluthandath A.V.; Guasoni M.; Kanagaraj N.","Jacob, Bharathy (60121650100); Natesan, Yogesh (60285373200); Naik, Pooja Uday (57987933900); Veluthandath, Aneesh Vincent (58266296900); Guasoni, Massimiliano (25649404500); Kanagaraj, Nithyanandan (36246432800)","60121650100; 60285373200; 57987933900; 58266296900; 25649404500; 36246432800","Polarization-dependent cylindrical vector vortex beams and optical skyrmion generation using all-dielectric chiral metasurfaces","2025","Physical Review A","112","5","053521","","","","2","10.1103/78yk-6s64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026751378&doi=10.1103%2f78yk-6s64&partnerID=40&md5=78fefab1a3a794ece791051fa4051c02","Article","Final","","Scopus","2-s2.0-105026751378"
"Nithyanandan K.","Nithyanandan, K. (36246432800)","36246432800","Multistability in directional coupler with negative index material channel","2018","Optics InfoBase Conference Papers","Part F125-JSAP 2018","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065892673&partnerID=40&md5=568b527d761b944c06c9c6329c9911bb","Conference paper","Final","","Scopus","2-s2.0-85065892673"
"Nithyanandan K.; Sharafali A.","Nithyanandan, K. (36246432800); Sharafali, A. (56367906600)","36246432800; 56367906600","Pulse compression in defective core photonic crystal fiber","2019","Proceedings of SPIE - The International Society for Optical Engineering","11029","","110290M","","","","0","10.1117/12.2522280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071984116&doi=10.1117%2f12.2522280&partnerID=40&md5=8073d441316d0c6fa2264c8013fde6dd","Conference paper","Final","","Scopus","2-s2.0-85071984116"
"Nithyanandan K.; Djevarhidjian L.; Duran V.; Schnébelin C.; Guillet de Chatellus H.","Nithyanandan, K. (36246432800); Djevarhidjian, L. (57202733578); Duran, V. (7004082718); Schnébelin, C. (56347323200); Guillet de Chatellus, H. (24072741200)","36246432800; 57202733578; 7004082718; 56347323200; 24072741200","Optimization of acousto-optic frequency combs","2019","Optics InfoBase Conference Papers","Part F143-EQEC 2019","","2019-ed_p_10","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084604096&partnerID=40&md5=b626a4f88f698efac682fbd0e5785e3a","Conference paper","Final","","Scopus","2-s2.0-85084604096"
"Jacob B.; Kanagaraj N.","Jacob, Bharathy (60121650100); Kanagaraj, Nithyanandan (36246432800)","60121650100; 36246432800","Polarization-Dependent Optical Switching and Complex Cylindrical Vector Beam Generation Using an All-Dielectric Chiral Metasurface","2025","Integrated Photonics Research, Silicon and Nanophotonics - Proceedings Advanced Photonics Congress - Part of Optica Advanced Photonics Congress 2025","","","","","","","0","10.1364/IPRSN.2025.JTu3A.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032046233&doi=10.1364%2fIPRSN.2025.JTu3A.7&partnerID=40&md5=37f4f9220dc51f3513fb640829e6bbc0","Conference paper","Final","","Scopus","2-s2.0-105032046233"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A Theoretical Observation of Novel Power Play in the Supercontinuum Spectra of Exponential Saturable Nonlinear Media","2015","Nonlinear Optics, NLO 2015","","","NW4A.1","","","","0","10.1364/NLO.2015.NW4A.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945904757&doi=10.1364%2fNLO.2015.NW4A.1&partnerID=40&md5=8a85c9b06fbe0937aa841e2473539385","Conference paper","Final","","Scopus","2-s2.0-84945904757"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A Unique Observation of Power Play in the Instability Induced Supercontinuum Generation in Saturable Nonlinear Media","2015","Optics InfoBase Conference Papers","","","JW2A.51","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136205410&partnerID=40&md5=c4d352d732bb90facac710c0060de46d","Conference paper","Final","","Scopus","2-s2.0-85136205410"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","Interplay between relaxation of nonlinear response and coupling coefficient dispersion in the instability spectra of dual core optical fiber","2013","Optics Communications","303","","","46","55","9","22","10.1016/j.optcom.2013.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877770752&doi=10.1016%2fj.optcom.2013.04.018&partnerID=40&md5=bc6a10ba54d7893289ed8e0c36ea3384","Article","Final","","Scopus","2-s2.0-84877770752"
"Grábner M.; Nithyanandan K.; Peterka P.; Koška P.; Honzátko P.; Jasim A.A.","Grábner, Martin (16024255800); Nithyanandan, Kanagaraj (36246432800); Peterka, Pavel (6602769922); Koška, Pavel (55644355900); Honzátko, Pavel (6602116389); Jasim, Ali A. (57212397480)","16024255800; 36246432800; 6602769922; 55644355900; 6602116389; 57212397480","Numerical modelling of pump absorption in coiled and twisted double-clad fiber: A prospect for tandem pumped fiber laser","2020","Proceedings of SPIE - The International Society for Optical Engineering","11355","","113550W","","","","3","10.1117/12.2557230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085176476&doi=10.1117%2f12.2557230&partnerID=40&md5=7f2795e9ed5f2346f00404c5e3458948","Conference paper","Final","","Scopus","2-s2.0-85085176476"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A novel behavior of pump power in the instability induced supercontinuum generation of saturable nonlinear media","2015","Journal of Physics: Conference Series","605","1","012031","","","","0","10.1088/1742-6596/605/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929492893&doi=10.1088%2f1742-6596%2f605%2f1%2f012031&partnerID=40&md5=6d370feb9f47e295f9c1d548ce5ee2d6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84929492893"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A Theoretical Investigation on Supercontinuum Generation in Saturable Optical Nonlinear Media","2016","Optics InfoBase Conference Papers","","","16a-C301-9","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136294445&partnerID=40&md5=13d4db29180d18ec80b686f161e1fb62","Conference paper","Final","","Scopus","2-s2.0-85136294445"
"Thomas A.D.; Soni K.; Nithyanadan K.","Thomas, Akash Dominic (59329882200); Soni, Khushboo (59515927400); Nithyanadan, K. (36246432800)","59329882200; 59515927400; 36246432800","Physics Based Phase Control in Coherent Beam Combining Systems","2025","Journal of Lightwave Technology","43","2","","824","831","7","3","10.1109/JLT.2024.3457852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204156573&doi=10.1109%2fJLT.2024.3457852&partnerID=40&md5=0f273a5b6c2050fdc036d2a10b3a778b","Article","Final","","Scopus","2-s2.0-85204156573"
"Jose A.; Kanagaraj N.","Jose, Amala (57887456500); Kanagaraj, Nithyanandan (36246432800)","57887456500; 36246432800","A Comparative Study on the Effect of Dispersion in Noise-Like Pulse Pumped Supercontinuum Generation","2024","Lecture Notes in Electrical Engineering","1225 LNEE","","","219","229","10","0","10.1007/978-981-97-4884-6_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210889832&doi=10.1007%2f978-981-97-4884-6_26&partnerID=40&md5=09736aded173d2c0d76dea1ec8e7ad44","Conference paper","Final","","Scopus","2-s2.0-85210889832"
"Nithyanandan K.; Raja R.V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","Interplay between saturation and relaxation of nonlinear response in the modulational instability of various nonlinear media","2012","2012 International Conference on Optical Engineering, ICOE 2012","","","6409578","","","","1","10.1109/ICOE.2012.6409578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873972339&doi=10.1109%2fICOE.2012.6409578&partnerID=40&md5=63680576a57218bf4e071e552e5a5465","Conference paper","Final","","Scopus","2-s2.0-84873972339"
"Porsezian K.; Nithyanandan K.; Vasantha Jayakantha Raja R.; Shukla P.K.","Porsezian, K. (35561975500); Nithyanandan, K. (36246432800); Vasantha Jayakantha Raja, R. (25637567000); Shukla, P.K. (36621402100)","35561975500; 36246432800; 25637567000; 36621402100","Modulational instability at the proximity of zero dispersion wavelength in the relaxing saturable nonlinear system","2012","Journal of the Optical Society of America B: Optical Physics","29","10","","2803","2813","10","29","10.1364/JOSAB.29.002803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867542196&doi=10.1364%2fJOSAB.29.002803&partnerID=40&md5=a106fbe8b67fb0cbee56f9077dc79aa6","Article","Final","","Scopus","2-s2.0-84867542196"
"Raja R.V.J.; Nithyanandan K.; Uthayakumar T.; Porsezian K.","Raja, R. Vasantha Jayakantha (25637567000); Nithyanandan, K. (36246432800); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","25637567000; 36246432800; 35362713600; 35561975500","Influence of Material Absorption on Supercontinuum Generation in Photonic Crystal Fibers","2012","Optics InfoBase Conference Papers","","","WPo.2","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136267465&partnerID=40&md5=0521a711c048e5507e02e0f8bfeb114a","Conference paper","Final","","Scopus","2-s2.0-85136267465"
"Nithyanandan K.; Vasantha Jayakantha Raja R.; Porsezian K.; Uthayakumar T.","Nithyanandan, K. (36246432800); Vasantha Jayakantha Raja, R. (25637567000); Porsezian, K. (35561975500); Uthayakumar, T. (35362713600)","36246432800; 25637567000; 35561975500; 35362713600","A colloquium on the influence of versatile class of saturable nonlinear responses in the instability induced supercontinuum generation","2013","Optical Fiber Technology","19","4","","348","358","10","26","10.1016/j.yofte.2013.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878263750&doi=10.1016%2fj.yofte.2013.04.002&partnerID=40&md5=5b00e41c5f82d325b748dd122e24d80e","Article","Final","","Scopus","2-s2.0-84878263750"
"Uthayakumar T.; Vasantha Jayakantha Raja R.; Nithyanandan K.; Porsezian K.","Uthayakumar, T. (35362713600); Vasantha Jayakantha Raja, R. (25637567000); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","35362713600; 25637567000; 36246432800; 35561975500","Designing a class of asymmetric twin core photonic crystal fibers for switching and multi-frequency generation","2013","Optical Fiber Technology","19","6 PART A","","556","564","8","15","10.1016/j.yofte.2013.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888350411&doi=10.1016%2fj.yofte.2013.08.010&partnerID=40&md5=8bc6e97a439052b6ba429f6f8dba5c17","Article","Final","","Scopus","2-s2.0-84888350411"
"Nithyanandan K.; Raja R.V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","A Unique Behavior of Pump power in the Modulational Instability Spectra of Saturable Nonlinear Media","2012","Optics InfoBase Conference Papers","","","WPo.4","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136294813&partnerID=40&md5=797c635f90a812b3042ab523abe3966b","Conference paper","Final","","Scopus","2-s2.0-85136294813"
"Nithyanandan K.; Raja R.V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","A unique behavior of pump power in the modulational instability spectra of saturable nonlinear media","2012","2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012","","","6545838","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881131530&partnerID=40&md5=32d5ac344afaa4ee67e0617a261cf847","Conference paper","Final","","Scopus","2-s2.0-84881131530"
"Uthayakumar T.; Raja R.V.J.; Nithyanandan K.; Porsezian K.","Uthayakumar, T. (35362713600); Raja, R. Vasantha Jayakantha (25637567000); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","35362713600; 25637567000; 36246432800; 35561975500","Investigation of optical pulse coupling through the nitrobenzene filled photonic crystal fiber coupler-A projection operator approach","2012","2012 International Conference on Optical Engineering, ICOE 2012","","","6409580","","","","0","10.1109/ICOE.2012.6409580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873957571&doi=10.1109%2fICOE.2012.6409580&partnerID=40&md5=e00a5d52447bf8201cf6b94dbb9cd182","Conference paper","Final","","Scopus","2-s2.0-84873957571"
"Raja R.V.J.; Nithyanandan K.; Uthayakumar T.; Porsezian K.","Raja, R. Vasantha Jayakantha (25637567000); Nithyanandan, K. (36246432800); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","25637567000; 36246432800; 35362713600; 35561975500","Influence of material absorption on supercontinuum generation in photonic crystal fibers","2012","2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012","","","6545816","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881157407&partnerID=40&md5=0498f23872d0d9e81f600b3b537a8f18","Conference paper","Final","","Scopus","2-s2.0-84881157407"
"Nithyanandan K.; Raja R.V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","Impact of dispersion profile on modulational instability in dispersion decreasing fiber","2012","2012 International Conference on Fiber Optics and Photonics, PHOTONICS 2012","","","6545805","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881124300&partnerID=40&md5=4b94d148eeb9b418e0e352e884a9e60e","Conference paper","Final","","Scopus","2-s2.0-84881124300"
"Nithyanandan K.; Raja R.V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","Impact of Dispersion Profile on Modulational Instability in Dispersion Decreasing Fiber","2012","Optics InfoBase Conference Papers","","","WPo.1","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136316057&partnerID=40&md5=4f6ebefc4e0ec8b800c121f267717a58","Conference paper","Final","","Scopus","2-s2.0-85136316057"
"Nithyanandan K.; Raja R.V.J.; Porsezian K.; Kalithasan B.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Porsezian, K. (35561975500); Kalithasan, B. (14035968000)","36246432800; 25637567000; 35561975500; 14035968000","Modulational instability with higher-order dispersion and walk-off in Kerr media with cross-phase modulation","2012","Physical Review A - Atomic, Molecular, and Optical Physics","86","2","023827","","","","49","10.1103/PhysRevA.86.023827","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865214416&doi=10.1103%2fPhysRevA.86.023827&partnerID=40&md5=bad25c44308435e4b894a877d3824590","Article","Final","","Scopus","2-s2.0-84865214416"
"Raja R.V.J.; Porsezian K.; Nithyanandan K.","Raja, R. Vasantha Jayakantha (25637567000); Porsezian, K. (35561975500); Nithyanandan, K. (36246432800)","25637567000; 35561975500; 36246432800","Modulational-instability-induced supercontinuum generation with saturable nonlinear response","2010","Physical Review A - Atomic, Molecular, and Optical Physics","82","1","013825","","","","79","10.1103/PhysRevA.82.013825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954946273&doi=10.1103%2fPhysRevA.82.013825&partnerID=40&md5=6f5bcf1db3d79fbe639a39b69eb0162d","Article","Final","","Scopus","2-s2.0-77954946273"
